Lower layer Super Output Areas Code,Lower layer Super Output Areas,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E01000151,Barnet 026B,4,Household is deprived in three dimensions,62
E01000151,Barnet 026B,5,Household is deprived in four dimensions,5
E01000152,Barnet 026C,-8,Does not apply,0
E01000152,Barnet 026C,1,Household is not deprived in any dimension,457
E01000152,Barnet 026C,2,Household is deprived in one dimension,297
E01000152,Barnet 026C,3,Household is deprived in two dimensions,132
E01000152,Barnet 026C,4,Household is deprived in three dimensions,37
E01000152,Barnet 026C,5,Household is deprived in four dimensions,5
E01000153,Barnet 026D,-8,Does not apply,0
E01000153,Barnet 026D,1,Household is not deprived in any dimension,280
E01000153,Barnet 026D,2,Household is deprived in one dimension,266
E01000153,Barnet 026D,3,Household is deprived in two dimensions,127
E01000153,Barnet 026D,4,Household is deprived in three dimensions,58
E01000153,Barnet 026D,5,Household is deprived in four dimensions,11
E01000154,Barnet 026E,-8,Does not apply,0
E01000154,Barnet 026E,1,Household is not deprived in any dimension,277
E01000154,Barnet 026E,2,Household is deprived in one dimension,248
E01000154,Barnet 026E,3,Household is deprived in two dimensions,129
E01000154,Barnet 026E,4,Household is deprived in three dimensions,48
E01000154,Barnet 026E,5,Household is deprived in four dimensions,4
E01000156,Barnet 022A,-8,Does not apply,0
E01000156,Barnet 022A,1,Household is not deprived in any dimension,415
E01000156,Barnet 022A,2,Household is deprived in one dimension,229
E01000156,Barnet 022A,3,Household is deprived in two dimensions,87
E01000156,Barnet 022A,4,Household is deprived in three dimensions,16
E01000156,Barnet 022A,5,Household is deprived in four dimensions,0
E01000157,Barnet 022B,-8,Does not apply,0
E01000157,Barnet 022B,1,Household is not deprived in any dimension,344
E01000157,Barnet 022B,2,Household is deprived in one dimension,218
E01000157,Barnet 022B,3,Household is deprived in two dimensions,89
E01000157,Barnet 022B,4,Household is deprived in three dimensions,14
E01000157,Barnet 022B,5,Household is deprived in four dimensions,3
E01000158,Barnet 015A,-8,Does not apply,0
E01000158,Barnet 015A,1,Household is not deprived in any dimension,281
E01000158,Barnet 015A,2,Household is deprived in one dimension,175
E01000158,Barnet 015A,3,Household is deprived in two dimensions,69
E01000158,Barnet 015A,4,Household is deprived in three dimensions,20
E01000158,Barnet 015A,5,Household is deprived in four dimensions,2
E01000159,Barnet 015B,-8,Does not apply,0
E01000159,Barnet 015B,1,Household is not deprived in any dimension,341
E01000159,Barnet 015B,2,Household is deprived in one dimension,203
E01000159,Barnet 015B,3,Household is deprived in two dimensions,81
E01000159,Barnet 015B,4,Household is deprived in three dimensions,24
E01000159,Barnet 015B,5,Household is deprived in four dimensions,1
E01000160,Barnet 015C,-8,Does not apply,0
E01000160,Barnet 015C,1,Household is not deprived in any dimension,467
E01000160,Barnet 015C,2,Household is deprived in one dimension,238
E01000160,Barnet 015C,3,Household is deprived in two dimensions,75
E01000160,Barnet 015C,4,Household is deprived in three dimensions,19
E01000160,Barnet 015C,5,Household is deprived in four dimensions,1
E01000161,Barnet 015D,-8,Does not apply,0
E01000161,Barnet 015D,1,Household is not deprived in any dimension,399
E01000161,Barnet 015D,2,Household is deprived in one dimension,265
E01000161,Barnet 015D,3,Household is deprived in two dimensions,117
E01000161,Barnet 015D,4,Household is deprived in three dimensions,21
E01000161,Barnet 015D,5,Household is deprived in four dimensions,4
E01000162,Barnet 015E,-8,Does not apply,0
E01000162,Barnet 015E,1,Household is not deprived in any dimension,250
E01000162,Barnet 015E,2,Household is deprived in one dimension,185
E01000162,Barnet 015E,3,Household is deprived in two dimensions,100
E01000162,Barnet 015E,4,Household is deprived in three dimensions,14
E01000162,Barnet 015E,5,Household is deprived in four dimensions,2
E01000163,Barnet 022C,-8,Does not apply,0
E01000163,Barnet 022C,1,Household is not deprived in any dimension,311
E01000163,Barnet 022C,2,Household is deprived in one dimension,256
E01000163,Barnet 022C,3,Household is deprived in two dimensions,147
E01000163,Barnet 022C,4,Household is deprived in three dimensions,75
E01000163,Barnet 022C,5,Household is deprived in four dimensions,7
E01000164,Barnet 022D,-8,Does not apply,0
E01000164,Barnet 022D,1,Household is not deprived in any dimension,257
E01000164,Barnet 022D,2,Household is deprived in one dimension,237
E01000164,Barnet 022D,3,Household is deprived in two dimensions,116
E01000164,Barnet 022D,4,Household is deprived in three dimensions,35
E01000164,Barnet 022D,5,Household is deprived in four dimensions,2
E01000165,Barnet 022E,-8,Does not apply,0
E01000165,Barnet 022E,1,Household is not deprived in any dimension,379
E01000165,Barnet 022E,2,Household is deprived in one dimension,229
E01000165,Barnet 022E,3,Household is deprived in two dimensions,87
E01000165,Barnet 022E,4,Household is deprived in three dimensions,10
E01000165,Barnet 022E,5,Household is deprived in four dimensions,1
E01000166,Barnet 003A,-8,Does not apply,0
E01000166,Barnet 003A,1,Household is not deprived in any dimension,343
E01000166,Barnet 003A,2,Household is deprived in one dimension,200
E01000166,Barnet 003A,3,Household is deprived in two dimensions,91
E01000166,Barnet 003A,4,Household is deprived in three dimensions,16
E01000166,Barnet 003A,5,Household is deprived in four dimensions,3
E01000167,Barnet 002A,-8,Does not apply,0
E01000167,Barnet 002A,1,Household is not deprived in any dimension,214
E01000167,Barnet 002A,2,Household is deprived in one dimension,178
E01000167,Barnet 002A,3,Household is deprived in two dimensions,101
E01000167,Barnet 002A,4,Household is deprived in three dimensions,26
E01000167,Barnet 002A,5,Household is deprived in four dimensions,3
E01000168,Barnet 003B,-8,Does not apply,0
E01000168,Barnet 003B,1,Household is not deprived in any dimension,324
E01000168,Barnet 003B,2,Household is deprived in one dimension,171
E01000168,Barnet 003B,3,Household is deprived in two dimensions,57
E01000168,Barnet 003B,4,Household is deprived in three dimensions,4
E01000168,Barnet 003B,5,Household is deprived in four dimensions,0
E01000169,Barnet 003C,-8,Does not apply,0
E01000169,Barnet 003C,1,Household is not deprived in any dimension,370
E01000169,Barnet 003C,2,Household is deprived in one dimension,201
E01000169,Barnet 003C,3,Household is deprived in two dimensions,99
E01000169,Barnet 003C,4,Household is deprived in three dimensions,22
E01000169,Barnet 003C,5,Household is deprived in four dimensions,3
E01000170,Barnet 006A,-8,Does not apply,0
E01000170,Barnet 006A,1,Household is not deprived in any dimension,332
E01000170,Barnet 006A,2,Household is deprived in one dimension,229
E01000170,Barnet 006A,3,Household is deprived in two dimensions,104
E01000170,Barnet 006A,4,Household is deprived in three dimensions,32
E01000170,Barnet 006A,5,Household is deprived in four dimensions,2
E01000171,Barnet 006B,-8,Does not apply,0
E01000171,Barnet 006B,1,Household is not deprived in any dimension,441
E01000171,Barnet 006B,2,Household is deprived in one dimension,333
E01000171,Barnet 006B,3,Household is deprived in two dimensions,155
E01000171,Barnet 006B,4,Household is deprived in three dimensions,64
E01000171,Barnet 006B,5,Household is deprived in four dimensions,5
E01000172,Barnet 003D,-8,Does not apply,0
E01000172,Barnet 003D,1,Household is not deprived in any dimension,355
E01000172,Barnet 003D,2,Household is deprived in one dimension,172
