"Address"	Latitude	Longitude	Easting	Northing
"N12 8RB"	51.623275	-0.17786	526234	193178
"NW4 3TR"	51.5765	-0.228739	522838	187890
"NW4 4NJ"	51.584516	-0.233176	522509	188774
"EN4 9PB"	51.649199	-0.166424	526953	196081
"NW4 1DL (3)"	51.589371	-0.219767	523425	189336
"N3 2HL"	51.599766	-0.186566	525696	190549
"HA8 9AB"	51.609157	-0.273813	519629	191447
"NW11 8BJ"	51.574678	-0.199792	524849	187736
"HA8 9JG"	51.610034	-0.268681	519982	191553
"NW4 3SX (2)"	51.580397	-0.237091	522249	188309
"NW11 9LJ"	51.578765	-0.214828	523796	188165
"NW2 1AR"	51.572098	-0.217149	523653	187420
"EN4 8TF (2)"	51.643002	-0.164986	527070	195394
"NW11 9HX"	51.577303	-0.212904	523933	188006
"NW9 5DJ"	51.599085	-0.251096	521229	190364
"NW4 1BT (4)"	51.590361	-0.220721	523356	189445
"NW4 4NH"	51.585419	-0.232217	522573	188876
"NW4 3YD"	51.582818	-0.228308	522851	188593
"NW11 9SR"	51.575073	-0.206804	524362	187768
"NW11 0HA"	51.58043	-0.20196	524683	188372
"NW11 0LR"	51.580074	-0.201628	524707	188333
"NW2 1JP (7)"	51.576516	-0.215955	523724	187913
"N3 1PD (2)"	51.607674	-0.191251	525350	191420
"NW2 3LL (5)"	51.555923	-0.212405	524026	185629
"N3 2HD (2)"	51.601322	-0.190677	525407	190715
"N3 2HD"	51.601322	-0.190677	525407	190715
"NW11 7RJ"	51.571462	-0.192079	525392	187392
"NW11 9TT (2)"	51.575649	-0.214744	523810	187819
"NW4 3RX"	51.579648	-0.231791	522618	188235
"NW9 6AT"	51.580192	-0.240217	522033	188281
"NW4 2PL"	51.582933	-0.218875	523504	188622
"N11 3AE (2)"	51.61804	-0.14785	528326	192648
"NW2 1RS"	51.561508	-0.208319	524294	186257
"NW11 9ES (2)"	51.577864	-0.207618	524298	188077
"NW2 1JG"	51.569233	-0.210883	524095	187112
"HA8 0DW"	51.598218	-0.261955	520479	190250
"N3 1HJ"	51.602275	-0.197065	524962	190810
"NW2 2LD (2)"	51.566651	-0.202375	524692	186839
"NW7 2QH"	51.60308	-0.236806	522208	190832
"EN4 8HU"	51.644999	-0.151304	528011	195640
"NW4 4UA (2)"	51.591248	-0.234171	522422	189521
"N12 0PT (3)"	51.609535	-0.169987	526817	191664
"NW4 1EU (2)"	51.59462	-0.214321	523788	189929
"NW2 1BX (2)"	51.565597	-0.218764	523559	186694
"NW11 9HJ"	51.577543	-0.212538	523958	188033
"NW2 2RN"	51.55677	-0.208996	524260	185729
"NW4 3XE"	51.582199	-0.23162	522623	188519
"NW9 6AE"	51.579608	-0.241466	521948	188214
"NW11 9NG"	51.579627	-0.205297	524454	188277
"NW4 3XT"	51.583231	-0.229418	522773	188637
"NW9 5GE"	51.59551	-0.243116	521791	189980
"EN4 8RW"	51.649909	-0.174248	526410	196146
"N3 2DB"	51.602929	-0.188721	525538	190897
"N3 2NP"	51.603447	-0.179	526210	190971
"NW4 4DD"	51.588999	-0.222568	523232	189290
"N2 0XD (2)"	51.588979	-0.168286	526992	189381
"NW11 8DL (5)"	51.564221	-0.197002	525071	186578
"N11 3BX"	51.612634	-0.155725	527796	192033
"NW4 3XR"	51.582751	-0.22922	522788	188584
"NW2 2NG (4)"	51.565148	-0.205204	524500	186667
"NW4 2PD"	51.58212	-0.216295	523685	188536
"NW11 0LL"	51.580747	-0.200346	524794	188410
"NW11 9AR"	51.578102	-0.20456	524509	188109
"N10 1AP (3)"	51.604979	-0.149519	528247	191193
"NW11 9TT"	51.575649	-0.214744	523810	187819
"NW4 4SD (2)"	51.586985	-0.237093	522231	189042
"NW4 3TS (2)"	51.57692	-0.228351	522864	187937
"N2 8EE"	51.594762	-0.173876	526589	190014
"NW4 3EU"	51.579426	-0.233535	522498	188207
"NW9 5JX"	51.599553	-0.254746	520975	190410
"NW7 3JR (2)"	51.621007	-0.254675	520923	192796
"NW4 3PS"	51.576956	-0.233945	522476	187932
"NW2 1JP"	51.576516	-0.215955	523724	187913
"NW2 1DU"	51.566467	-0.214656	523841	186798
"NW2 1EA"	51.567439	-0.211761	524039	186911
"NW7 2JP (5)"	51.611623	-0.246455	521517	191766
"NW7 2JP"	51.611623	-0.246455	521517	191766
"NW4 4RL"	51.592556	-0.225501	523019	189681
"N11 3DY"	51.614555	-0.150404	528159	192256
"NW7 2AG"	51.609784	-0.249126	521337	191557
"N3 1EG (2)"	51.604976	-0.197839	524901	191109
"NW4 2HX"	51.585085	-0.218232	523543	188862
"N12 8HE"	51.612548	-0.183662	525862	191975
"HA8 7AU (2)"	51.615167	-0.275275	519512	192113
"NW2 1JP"	51.576516	-0.215955	523724	187913
"NW4 4AX"	51.587428	-0.229861	522731	189103
"NW4 2TN"	51.584431	-0.220783	523368	188785
"NW4 3SA"	51.578181	-0.232083	522602	188071
