Lower layer Super Output Areas Code,Lower layer Super Output Areas,Ethnic group (20 categories) Code,Ethnic group (20 categories),Observation
E01000128,Barnet 024C,10,Mixed or Multiple ethnic groups: White and Black African,23
E01000128,Barnet 024C,11,Mixed or Multiple ethnic groups: White and Black Caribbean,19
E01000128,Barnet 024C,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,25
E01000128,Barnet 024C,13,"White: English, Welsh, Scottish, Northern Irish or British",457
E01000128,Barnet 024C,14,White: Irish,58
E01000128,Barnet 024C,15,White: Gypsy or Irish Traveller,0
E01000128,Barnet 024C,16,White: Roma,16
E01000128,Barnet 024C,17,White: Other White,399
E01000128,Barnet 024C,18,Other ethnic group: Arab,54
E01000128,Barnet 024C,19,Other ethnic group: Any other ethnic group,65
E01000129,Barnet 024D,-8,Does not apply,0
E01000129,Barnet 024D,1,"Asian, Asian British or Asian Welsh: Bangladeshi",13
E01000129,Barnet 024D,2,"Asian, Asian British or Asian Welsh: Chinese",41
E01000129,Barnet 024D,3,"Asian, Asian British or Asian Welsh: Indian",97
E01000129,Barnet 024D,4,"Asian, Asian British or Asian Welsh: Pakistani",25
E01000129,Barnet 024D,5,"Asian, Asian British or Asian Welsh: Other Asian",250
E01000129,Barnet 024D,6,"Black, Black British, Black Welsh, Caribbean or African: African",206
E01000129,Barnet 024D,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",20
E01000129,Barnet 024D,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",29
E01000129,Barnet 024D,9,Mixed or Multiple ethnic groups: White and Asian,16
E01000129,Barnet 024D,10,Mixed or Multiple ethnic groups: White and Black African,34
E01000129,Barnet 024D,11,Mixed or Multiple ethnic groups: White and Black Caribbean,17
E01000129,Barnet 024D,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,13
E01000129,Barnet 024D,13,"White: English, Welsh, Scottish, Northern Irish or British",340
E01000129,Barnet 024D,14,White: Irish,29
E01000129,Barnet 024D,15,White: Gypsy or Irish Traveller,1
E01000129,Barnet 024D,16,White: Roma,27
E01000129,Barnet 024D,17,White: Other White,287
E01000129,Barnet 024D,18,Other ethnic group: Arab,38
E01000129,Barnet 024D,19,Other ethnic group: Any other ethnic group,118
E01000130,Barnet 021A,-8,Does not apply,0
E01000130,Barnet 021A,1,"Asian, Asian British or Asian Welsh: Bangladeshi",16
E01000130,Barnet 021A,2,"Asian, Asian British or Asian Welsh: Chinese",74
E01000130,Barnet 021A,3,"Asian, Asian British or Asian Welsh: Indian",84
E01000130,Barnet 021A,4,"Asian, Asian British or Asian Welsh: Pakistani",29
E01000130,Barnet 021A,5,"Asian, Asian British or Asian Welsh: Other Asian",274
E01000130,Barnet 021A,6,"Black, Black British, Black Welsh, Caribbean or African: African",363
E01000130,Barnet 021A,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",34
E01000130,Barnet 021A,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",29
E01000130,Barnet 021A,9,Mixed or Multiple ethnic groups: White and Asian,14
E01000130,Barnet 021A,10,Mixed or Multiple ethnic groups: White and Black African,31
E01000130,Barnet 021A,11,Mixed or Multiple ethnic groups: White and Black Caribbean,19
E01000130,Barnet 021A,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,42
E01000130,Barnet 021A,13,"White: English, Welsh, Scottish, Northern Irish or British",466
E01000130,Barnet 021A,14,White: Irish,20
E01000130,Barnet 021A,15,White: Gypsy or Irish Traveller,6
E01000130,Barnet 021A,16,White: Roma,24
E01000130,Barnet 021A,17,White: Other White,301
E01000130,Barnet 021A,18,Other ethnic group: Arab,32
E01000130,Barnet 021A,19,Other ethnic group: Any other ethnic group,82
E01000131,Barnet 024E,-8,Does not apply,0
E01000131,Barnet 024E,1,"Asian, Asian British or Asian Welsh: Bangladeshi",19
E01000131,Barnet 024E,2,"Asian, Asian British or Asian Welsh: Chinese",160
E01000131,Barnet 024E,3,"Asian, Asian British or Asian Welsh: Indian",209
E01000131,Barnet 024E,4,"Asian, Asian British or Asian Welsh: Pakistani",55
